word,translation
apple,سیب
book,کتاب
cat,بلی
computer,کمپیوٹر
computation,حساب کتاب
compute,شمار کرنا
comfort,آرام
common,عام
company,کمپنی
compare,موازنہ کرنا
complete,مکمل
complex,پیچیدہ
dog,کتا
door,دروازہ
water,پانی
fire,آگ
house,گھر
tree,درخت
sun,سورج
moon,چاند
star,ستارہ
sky,آسمان
earth,زمین
mountain,پہاڑ
river,دریا
sea,سمندر
ocean,بحر
rain,بارش
wind,ہوا
storm,طوفان
cloud,بادل
snow,برف
ice,برف
fish,مچھلی
bird,پرندہ
horse,گھوڑا
lion,شیر
tiger,چیتا
elephant,ہاتھی
mouse,چوہا
rabbit,خرگوش
snake,سانپ
insect,کیڑا
flower,پھول
grass,گھاس
leaf,پتا
root,جڑ
seed,بیج
fruit,پھل
vegetable,سبزی
milk,دودھ
bread,روٹی
rice,چاول
sugar,چینی
salt,نمک
tea,چائے
coffee,کافی
egg,انڈا
meat,گوشت
chicken,مرغی
king,بادشاہ
queen,ملکہ
prince,شہزادہ
princess,شہزادی
teacher,استاد
student,طالب علم
school,اسکول
college,کالج
university,جامعہ
doctor,ڈاکٹر
engineer,انجینئر
lawyer,وکیل
friend,دوست
family,خاندان
mother,ماں
father,باپ
brother,بھائی
sister,بہن
child,بچہ
baby,بچہ
man,آدمی
woman,عورت
boy,لڑکا
girl,لڑکی
name,نام
age,عمر
time,وقت
day,دن
night,رات
morning,صبح
evening,شام
week,ہفتہ
month,مہینہ
year,سال
hour,گھنٹہ
minute,منٹ
second,سیکنڈ
today,آج
tomorrow,کل
yesterday,کل
love,محبت
hate,نفرت
happy,خوش
sad,اداس
angry,ناراض
fear,ڈر
hope,امید
dream,خواب
peace,امن
war,جنگ
money,پیسہ
work,کام
job,نوکری
business,کاروبار
market,بازار
shop,دکان
price,قیمت
food,کھانا
drink,مشروب
city,شہر
village,گاؤں
country,ملک
world,دنیا
road,سڑک
car,گاڑی
bus,بس
train,ٹرین
plane,ہوائی جہاز
ship,جہاز
bicycle,سائیکل
phone,فون
letter,خط
word,لفظ
language,زبان
question,سوال
answer,جواب
problem,مسئلہ
solution,حل
idea,خیال
knowledge,علم
science,سائنس
history,تاریخ
music,موسیقی
art,فن
color,رنگ
light,روشنی
dark,اندھیرا
big,بڑا
small,چھوٹا
fast,تیز
slow,آہستہ
hot,گرم
cold,ٹھنڈا
new,نیا
old,پرانا
good,اچھا
bad,برا
true,سچ
false,جھوٹ
beautiful,خوبصورت
strong,مضبوط
weak,کمزور
rich,امیر
poor,غریب
animal,جانور
library,لائبریری
paper,کاغذ
pen,قلم
pencil,پنسل
table,میز
chair,کرسی
window,کھڑکی
room,कमरा
floor,فرش
roof,چھت
wall,دیوار
bed,बिस्तर
lamp,چراغ
clock,گھڑی
mirror,آئینه
key,چابی
lock,تالہ
bag,بستہ
box,ڈبہ
shoe,جوتا
shirt,قمیض
pants,پتلون
hat,ٹوپی
glasses,عینک
ring,انگوٹی
gold,سونا
silver,चांदी
iron,लोहा
stone,पत्थर
sand,ریت
fire,آگ
smoke,دھواں
energy,توانائی
gravity,کشش ثقل
space,خلاء
planet,سیارہ
comet,دمدار ستارہ
eclipse,گرہن
oxygen,آکسیجن
hydrogen,ہائیڈروجن
atom,ایٹم
molecule,مالیکیول
cell,خلیہ
blood,خون
bone,ہڈی
heart,دل
brain,دماغ
lung,پھیپھڑا
muscle,پٹھا
skin,جلد
eye,آنکھ
ear,کان
nose,ناک
mouth,منہ
tooth,دانت
tongue,زبان
hand,ہاتھ
finger,انگلی
leg,ٹانگ
foot,پیر
stomach,پیدائش
health,صحت
disease,بیماری
medicine,دوا
hospital,ہسپتال
nurse,نرس
patient,مریض
surgery,جراحی
fever,بخار
pain,درد
cure,علاج
life,زندگی
death,موت
birth,پیدائش
youth,جوانی
age,عمر
truth,سچائی
lie,جھوٹ
justice,انصاف
crime,جرم
punishment,سزا
law,قانون
court,عدالت
judge,جج
police,پولیس
thief,چور
guard,نگہبان
army,فौज
soldier,سپاہی
weapon,ہتھیار
sword,تلوار
shield,ڈھال
battle,لڑائی
victory,فتح
defeat,شکست
